NO,NAMA JAMU,KHASIAT,KANDUNGAN,ATURAN MINUM,EFEK SAMPING,JENIS,PRODUSEN,LOKASI PEMASARAN,LOKASI PRODUKSI,KABUPATEN,PERIZINAN
51,Subur Kandungan,"Diramu dari bahan jamu berupa tumbuh-tumbuhan dan akar yang berkhasiat tinggi untuk membantu menyehatkan, menyuburkan dan menguatkan kandungan. Jamu ini sangat baik bagi ibu-ibu yang sering keguguran dan sulit mendapatkan kehamilan.",,"Satu bungkus jamu ini direbus dengan 1 liter air selama  10 menit, diminum setiap hari pagi dan sore 1 gelas. Apabila habis airnya ditambah air lagi, dan rebus kembali.",tidak ada,serbuk,Mustika Madura,hingga luar madura,Jl.Jokotole No.27,pamekasan,
52,Sehat Wanita,,,,tidak ada,,Mustika Madura,hingga luar madura,Jl.Jokotole No.28,pamekasan,
53,Sehat Laki-laki ( Helbeh),,,,tidak ada,,Mustika Madura,hingga luar madura,Jl.Jokotole No.29,pamekasan,
54,Natural Lulur Sari temugiring,"Menghaluskan dan mencerahkan kulit, melembabkan, menghilangkan bekas noda di tubuh.",Terbuat dari ekstrak Sari Temu Giring.,,tidak ada,,Mustika Madura,hingga luar madura,Jl.Jokotole No.30,pamekasan,
55,Empot Sari Rapet,"mengembalikan masa keperawanan dan menambah keharmonisan dalam rumah tangga, memadatkan tubuh dan membuat badan lebih segar.","Daun Kacip Fatimah, gambir, kulit palamelia, daun sirih, rimpang kunyit",3X Sehari 2 Butir,tidak ada,pil,TOKO NUR,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,
56,Awet Muda,membantu memelihara kecantikan,"Temu Kunci, Kayu Manis, Bibhitaki, gambir",2X Sehari 2 Butir,tidak ada,pil,TOKO NUR,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,
57,Ma'jun,"menyembuhkan sakit pinggang, pegel linu, encok dan rematik, menghilangkan rasa lelah sehingga menambhan setamina dan syahwat","konyingar, delingu, masoji, sentok, prabas, adas, pulosari dll",2X Sehari 1 Butir,tidak ada,pil,TOKO NUR,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,
58,Sale Karang,"sakit gigi, gusi bengkak dan gusi berdarah",,,tidak ada,,TOKO NUR,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,
59,Ibu Hamil,biar tidak mudah capek,,,tidak ada,,TOKO NUR,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,
60,Diabet,menstabilkan kadar gula,,,tidak ada,,TOKO NUR,hingga luar madura,"Jl. Kabupaten, Gladak Anyar",pamekasan,
61,Nafsu Makan,Untuk menambah nafsu makan,"Adas, pulosari, jahe dll",,tidak ada,,TOKO BU EMA,hingga luar madura,pamekasan,pamekasan,
