NO,NAMA JAMU,KHASIAT,KANDUNGAN,ATURAN MINUM,EFEK SAMPING,JENIS,PRODUSEN,LOKASI PEMASARAN,LOKASI PRODUKSI,KABUPATEN,PERIZINAN
150,pintu surga,bermanfaat untuk perawatan kewanitaan dan juga menuntaskan keputihan,,langsung dioleskan ke daerah v,tidak ada,serbuk,IBU MASTURAH,luar indonesia,Jl.Panglima Sudirman Gg.0,Bangkalan,
151,jamu manjakani,"merapetkan vagina, bikin keset untuk keputihan dan juga menyehatkan badan","Buah Sirih Hutan (Boesenbergia rotunda), Buah Pinang (Areca catechu), Daun Sirih (Piper betle)",,tidak ada,kapsul,IBU MASTURAH,luar indonesia,Jl.Panglima Sudirman Gg.1,Bangkalan,
152,air cewok,"bikin keset, merapetkan, menghilangkan keputihan juga menghilangkan bau daerah v",,"ambil separuh air cewok rebus sampai mendidih, disaring lalu di tambah air dicebokin ke kemaluan / berendam, ampasnya bisa ditambah air lagi sampai bening",tidak ada,serbuk,IBU MASTURAH,luar indonesia,Jl.Panglima Sudirman Gg.2,Bangkalan,
153,jamu melahirkan,ibu dan bayi menjadi sehat dan bugar,"temulawak, kunyit,temu ireng, jahe, daun beluntas, daun serat, daun sirih, daun pepaya, daun asam, kasimbu'an",2x sehari 1 gelas pagi dan sore selama 20 hari,tidak ada,serbuk,H. Mifki,madura dan sekitarnya,Tlanakan,pamekasan,
154,sehat lelaki,"hubungan suami istri lebih intim, untuk kejantanan lelaku","jahe, temulawak, temu ireng, kunyit, pinang muda",seminggu 1 kali 1 gelas,tidak ada,serbuk,H. Mifki,madura dan sekitarnya,Tlanakan,pamekasan,
155,sehat wanita,"untuk keputihan, stamina wanita, hubungan suami istri lebih intim","temulawak, kunyit, manjakani, jelebi, jekkeleng",seminggu 1 kali 1 gelas,tidak ada,serbuk,H. Mifki,madura dan sekitarnya,Tlanakan,pamekasan,
156,salekarang,"untuk flu, batuk, sakit gigi, pusing","temu ireng, temulawak sambiroto",seminggu 1 kali 1 gelas,tidak ada,serbuk,H. Mifki,madura dan sekitarnya,Tlanakan,pamekasan,
157,Kopi racikan madura,"Menjaga organ hati, membantu membersihkan saluran pencernaan, membantu membakar lemak, mencegah penyakit jantung, diabetes",kopi,,tidak ada,serbuk,IBU MASTURAH,luar indonesia,Jl.Panglima Sudirman Gg.2,Bangkalan,
158,dupa kemanten,"mengharumkan tubuh, baju, juga ruangan. Harumnya lengket sepanjang hari",,,,serbuk,IBU MASTURAH,luar indonesia,Jl.Panglima Sudirman Gg.3,Bangkalan,
159,galian singset,"membantu mengurangi lemak, membuat badan menjadi langsing",,,,,ribkah maryam jokotole,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM
160,jamu jerawat,"membantu mengatasi jerawat, menjaga kulit tetap halus bercahaya",,,,,ribkah maryam jokotole,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM
161,jamu pelangsing(bobot idaman),"menurunkan berat badan sesuai dengan idaman, menahan bobot badan supaya tidak gemuk berlebihan, mengontrol kadar lemak bagian perut",,,,,ribkah maryam jokotole,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM
162,jamu pegel linu,"sangat berkhasiat menyembuhkan pegel-pegel linu otot-otot anda, menyembuhkan penyakit rheumatic/encok dan sakit pinggang",,,,,ribkah maryam jokotole,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM
163,jamu nifas (pluntur),"sangat efektif untuk wanita yang sering terlambat bulan, datang bulan tidak teratur, sakit-sakit badan waktu datang bulan",,,,,ribkah maryam jokotole,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM
164,sehat lelaki (perkasa lelaki),Memperkuat fungsi lelaki serta meningkatkan katahanan kejantanan,,,,,ribkah maryam jokotole,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM
165,sepet madura(empot-empotan,"membuat denyut-denyut istimewa yang khas, memperkuat otot-otot kewanitaan, menghilangkan bau tidak enak gatal-gatal dan keputihan",,,,,ribkah maryam jokotole,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM
166,sehat perempuan(montok payudaya),"mengencangkan payudara, memperbesar payudara yang kurang ideal, menyehatkan dan memperindah payudara",,,,,ribkah maryam jokotole,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM
167,sari harum(keputihan),"sangat mujarab dan benar-benar ampuh untuk segala macam keputihan yang lama maupun yang baru. Menghilangkan bau yang tidak enak, gatal-gatal dll",,,,,ribkah maryam jokotole,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM
168,awet ayu,"membuat dan menjaga kulit tubuh anda segar halus dan bercahaya, mengencangkan seluruh otot-otot tubuh anda agar tetap singset. Menjaga tubuh tetap sehat dan segar selalu",,,,,ribkah maryam jokotole,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM
169,SUPER SEHAT BURUNG WALET,"Insya Allah sangat ampuh untuk mencegah dan menyembuhkan Reumatik, Asam urat, Tekanan darah tinggi, Asma, Maag, Ginjal, Tipes, Cacingan, Sakit gigi, Lemah syahwat, Gatal-gatal alergi, Paru-paru basah, Kurang nafsu makan, Melancarkan Sirkulasi darah, Jerawat, Bisul, Kudis, Panu, Merawat Ms.V, Mengatasi keputihan, Merawat dan mengencangkan kulit, Mencegah dan mengatasi penyakit menahun, Kelumpuhan/badan mati separuh seperti Stroke, Kanker, Liver, Kencing manis basah/kencing manis kering, Menjaga dan menambah daya tahan tubuh.","Rimpang Kunyit,Rimpang Kencur, Rimpang Jahe, Herba Sambiloto","pengobatan, dewasa 1 sendok makan 2x sehari. Anak-anak 1/2 sendok makan 2x sehari diseduh dengan air matang 200 ml. untuk menjaga badan tetap sehat dan bugar diminum rutin 1x sehari","Jamu walet super sehat dapat mengakibatkan sering buang air besar, sering buang air kecil, keringat berlebih, mual dan muntah, namun efek samping berikut hanya bersifat sementara sesuai dengan tingkat/level penyakit yang diderita.",serbuk,PT.QOMAR JAYA NUSANTARA,online,Sumenep,Sumenep,KEMENKES
170,SUPER KUAT BURUNG WALET,"Insyaallah sangat ampuh untuk menambah kepuasan Sex, Tahan keluarnya air sperma, menambah kejantanan, mengencangkan otot dzakar, menguatkan dan mengobati impoten yang menahun, merangsang dan mempercepat hidupnya dzakar, menambah energi baru setelah berhubungan, mengganti sel-sel tubuh yang aus, mengobati lesu, loyo, sakit pinggang, sakit kepala, dan menambah daya tahan tubuh dan menambah vitalitas pria dan wanita.","10% Ekstrak Kopi Rempah, 15% Kulit Batang Kayu Manis (Cassia), 20% Daun Psidium",Sehari 2 bungkus diminum pagi dan sore/malam 25menit-1 jam sebelum tidur (Boleh dicampur dengan telur ayam kampung dan madu) Untuk menjaga tubuh tetap sehat diminum 1 hari sekali.,,serbuk,PT.QOMAR JAYA NUSANTARA,online,Sumenep,Sumenep,KEMENKES
171,KOPI JANTAN ANTI DIABETES,"Insya Allah sangat ampuh untuk mengatasi penyakit diabetes, lemah syahwat, ejakulasi dini, meningkatkan libido, menambah stamina, vitalitas dan meningkatkan daya tahan tubuh pria dan wanita.","15% Ekstrak Kopi Rempah, 10% Ekstrak Andrografis, 20% Ekstrak Akar Ginseng, 20% Ekstrak Rimpang Jahe Merah, Dan bahan lainnya hingga total 100%.",Terapi pengobatan sehari 2 bungkus diminum pagi dan malam hari. Untuk menjaga tubuh tetap sehat 1 bungkus diminum satu kali sehari.,,serbuk,PT.QOMAR JAYA NUSANTARA,online,Sumenep,Sumenep,KEMENKES
172,MADU Ruqyah,"Insya Allah dapat mencegah dan Menyembuhkan segala macam penyakit: Diabetes, Kolesterol, Asam Urat, Asam Lambung, Alergi, Ginjal, Asthma, Maag, Darah Tinggi, Lever, Kanker, Kusta, Stroke, Lumpuh, Keputihan, Meningkatkan gairah sex pria/wanita, kesulitan mendapatkan keturunan, Gangguan Jin/Psikis, dan kena Sihir/Santet","Madu Pahit, Sarang Burung Walet, Habbatus Saudah","2X sehari, 1 sendok makan diseduh dengan air hangat 200ml, diminum sebelum makan dan sebelum tidur. untuk mendapat hasil maksimal diminum secara rutin dan teratur.",,cair,PT.QOMAR JAYA NUSANTARA,online,Sumenep,Sumenep,KEMENKES
173,SUSU SUPER SEHAT GOLD,"Mengatasi kencing manis basah/kering, Diabetes, Asam urat, Liver, Kanker, Mudah lesu/loyo/letih/kurang semangat atau kurang energik, Merawat dan memperkuat otot Mr.P, Menambah stamina pria dan wanita, Merawat dan mengencangkan Ms V, Mengatasi keputihan, Lendir berlebih pada Ms,V, Bau badan tidak sedap, Kurang darah, Jerawat, bisul, kudis dan sejenisnya, Merawat, mengencangkan dan mengatasi kulit mati/ mudah kering, Menambah nafsu makan, baik untuk dewasa ataupun bagi anak-anak(usia minimal 5 tahun), Menambah berat badan dengan menambah nafsu makan, DII, intinya MULTI KHAS","Terbuat dari biji kedelai pilihan, sarang burung walet, pemanis alami dari sari bunga dan tebu, akar tanaman, dan bahan-bahan khsus lainnya yang 100 alami dan asli dari madura","Aman diminum sebelum atau sesudah makan, namun kami anjurkan untuk diminum sesudah makan dan 2 jam sebelum tidur",,serbuk,PT.QOMAR JAYA NUSANTARA,online,Sumenep,Sumenep,KEMENKES
174,SUBUR KANDUNGAN,dapat menyuburkan kandungan. Baik untuk ibu yang baru keguguran,,,,,Karya Ibu Abdullah,online,,Pamekasan,KEMENKES
175,SABUN CAIR SIRIH,harum dan keset pembersih daerah khusus kewanitaan,,,,cair,UD.MUSTIKA BANI,online,,,
176,krim rondo ayu,Khasiat dapat mengencangkan payudara yang turun. Disarankan diminum dengan kapsul montok payudara untuk hasil yang maksimal.,,,,krim,Karya Ibu Abdullah,madura,,Pamekasan,
177,harum rempah spray(perfume),"Dapat menghilangkan bau badan. Bisa digunakan untuk ketiak, leher, kaki, dan rambut.",,,,cair,Karya Ibu Abdullah,madura,,Pamekasan,
178,virginity spray,dapat membuat wangi bagian bawah,,,,cair,Karya Ibu Abdullah,madura,,Pamekasan,
179,empot-empot ayam super,"Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan, Mengencangkan kembali ototÂ² kewanitaan setelah melahirkan, Mengembalikan kegadisan / keperawanan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas",,,,pil,Karya Ibu Abdullah,madura,,Pamekasan,
180,galian rapet awet muda,"Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan, Dapat dikonsumsi oleh gadis / remaja, Mengembalikan kegadisan / keperawanan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas",,,,pil,Karya Ibu Abdullah,madura,,Pamekasan,
181,serbuk nikmat surga,"Menambah rasa kenikmatan dalam bersetubuh, Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Menghilangkan bau tidak sedap pada bagian kewanitaan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas",,,,serbuk,Karya Ibu Abdullah,madura,,Pamekasan,
